disp(nameNet)
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_1A
Training on single CPU.
Initializing input data normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |     Loss     |      Rate       |
|========================================================================================|
|      10 |         450 |       00:02:14 |       55.35% |       1.0476 |          0.0010 |
|      12 |         500 |       00:02:29 |       55.28% |       1.0504 |          0.0010 |
|      13 |         550 |       00:02:44 |       59.19% |       0.9915 |          0.0010 |
|      14 |         600 |       00:02:59 |       59.50% |       0.9941 |          0.0010 |
|      15 |         650 |       00:03:14 |       61.16% |       0.9467 |          0.0010 |
|      16 |         700 |       00:03:28 |       59.53% |       0.9765 |          0.0010 |
|      17 |         750 |       00:03:44 |       61.05% |       0.9468 |          0.0010 |
|      18 |         800 |       00:03:59 |       62.13% |       0.9352 |          0.0010 |
|      19 |         850 |       00:04:13 |       61.72% |       0.9434 |          0.0010 |
|      20 |         900 |       00:04:29 |       61.88% |       0.9148 |          0.0010 |
|      22 |         950 |       00:04:44 |       61.96% |       0.9281 |          0.0010 |
|      23 |        1000 |       00:05:00 |       64.21% |       0.8905 |          0.0010 |
|      24 |        1050 |       00:05:16 |       64.48% |       0.8957 |          0.0010 |
|      25 |        1100 |       00:05:31 |       65.16% |       0.8601 |          0.0010 |
|      26 |        1150 |       00:05:47 |       63.77% |       0.9016 |          0.0010 |
|      27 |        1200 |       00:06:02 |       64.43% |       0.8742 |          0.0010 |
|      28 |        1250 |       00:06:17 |       66.27% |       0.8491 |          0.0010 |
|      29 |        1300 |       00:06:32 |       65.79% |       0.8662 |          0.0010 |
|      30 |        1350 |       00:06:47 |       66.41% |       0.8331 |          0.0010 |
|      32 |        1400 |       00:07:01 |       65.13% |       0.8710 |          0.0010 |
|      33 |        1450 |       00:07:16 |       67.44% |       0.8220 |          0.0010 |
|      34 |        1500 |       00:07:32 |       66.48% |       0.8373 |          0.0010 |
|      35 |        1550 |       00:07:47 |       68.29% |       0.7928 |          0.0010 |
|      36 |        1600 |       00:08:01 |       67.34% |       0.8279 |          0.0010 |
|      37 |        1650 |       00:08:16 |       68.02% |       0.8052 |          0.0010 |
|      38 |        1700 |       00:08:31 |       68.73% |       0.7948 |          0.0010 |
|      39 |        1750 |       00:08:47 |       68.18% |       0.8109 |          0.0010 |
|      40 |        1800 |       00:09:03 |       69.38% |       0.7737 |          0.0010 |
|      42 |        1850 |       00:09:19 |       68.15% |       0.8177 |          0.0010 |
|      43 |        1900 |       00:09:35 |       70.07% |       0.7594 |          0.0010 |
|      44 |        1950 |       00:09:51 |       68.68% |       0.7938 |          0.0010 |
|      45 |        2000 |       00:10:07 |       71.04% |       0.7391 |          0.0010 |
|      46 |        2050 |       00:10:23 |       68.23% |       0.8034 |          0.0010 |
|      47 |        2100 |       00:10:39 |       69.80% |       0.7665 |          0.0010 |
|      48 |        2150 |       00:10:56 |       70.88% |       0.7536 |          0.0010 |
|      49 |        2200 |       00:11:12 |       70.39% |       0.7628 |          0.0010 |
|      50 |        2250 |       00:11:28 |       71.68% |       0.7296 |          0.0010 |
|      52 |        2300 |       00:11:45 |       70.66% |       0.7660 |          0.0010 |
|      53 |        2350 |       00:12:01 |       72.05% |       0.7190 |          0.0010 |
|      54 |        2400 |       00:12:17 |       70.35% |       0.7651 |          0.0010 |
|      55 |        2450 |       00:12:33 |       72.49% |       0.7054 |          0.0010 |
|      56 |        2500 |       00:12:49 |       69.65% |       0.7756 |          0.0010 |
|      57 |        2550 |       00:13:05 |       71.75% |       0.7286 |          0.0010 |
|      58 |        2600 |       00:13:21 |       72.84% |       0.7099 |          0.0010 |
|      59 |        2650 |       00:13:37 |       71.89% |       0.7294 |          0.0010 |
|      60 |        2700 |       00:13:53 |       73.72% |       0.6904 |          0.0010 |
|      62 |        2750 |       00:14:09 |       72.60% |       0.7265 |          0.0010 |
|      63 |        2800 |       00:14:23 |       73.25% |       0.6920 |          0.0010 |
|      64 |        2850 |       00:14:38 |       71.60% |       0.7411 |          0.0010 |
|      65 |        2900 |       00:14:52 |       73.57% |       0.6830 |          0.0010 |
|      66 |        2950 |       00:15:06 |       71.05% |       0.7459 |          0.0010 |
|      67 |        3000 |       00:15:21 |       73.01% |       0.6996 |          0.0010 |
|      68 |        3050 |       00:15:37 |       74.42% |       0.6776 |          0.0010 |
|      69 |        3100 |       00:15:53 |       73.02% |       0.7083 |          0.0010 |
|      70 |        3150 |       00:16:09 |       74.63% |       0.6650 |          0.0010 |
|      72 |        3200 |       00:16:25 |       74.03% |       0.6957 |          0.0010 |
|      73 |        3250 |       00:16:41 |       73.95% |       0.6721 |          0.0010 |
|      74 |        3300 |       00:16:57 |       72.75% |       0.7163 |          0.0010 |
|      75 |        3350 |       00:17:13 |       74.50% |       0.6627 |          0.0010 |
|      76 |        3400 |       00:17:30 |       72.50% |       0.7177 |          0.0010 |
|      77 |        3450 |       00:17:46 |       74.13% |       0.6772 |          0.0010 |
|      78 |        3500 |       00:18:03 |       75.50% |       0.6556 |          0.0010 |
|      79 |        3550 |       00:18:20 |       73.81% |       0.6879 |          0.0010 |
|      80 |        3600 |       00:18:41 |       75.22% |       0.6487 |          0.0010 |
|      82 |        3650 |       00:18:59 |       75.05% |       0.6721 |          0.0010 |
|      83 |        3700 |       00:19:16 |       74.52% |       0.6600 |          0.0010 |
|      84 |        3750 |       00:19:33 |       73.73% |       0.6956 |          0.0010 |
|      85 |        3800 |       00:19:50 |       75.49% |       0.6425 |          0.0010 |
|      86 |        3850 |       00:20:09 |       73.32% |       0.7004 |          0.0010 |
|      87 |        3900 |       00:20:28 |       75.05% |       0.6581 |          0.0010 |
|      88 |        3950 |       00:20:47 |       76.48% |       0.6363 |          0.0010 |
|      89 |        4000 |       00:21:05 |       74.53% |       0.6686 |          0.0010 |
|      90 |        4050 |       00:21:23 |       75.94% |       0.6335 |          0.0010 |
|      92 |        4100 |       00:21:40 |       75.96% |       0.6520 |          0.0010 |
|      93 |        4150 |       00:21:57 |       75.15% |       0.6484 |          0.0010 |
|      94 |        4200 |       00:22:13 |       74.39% |       0.6790 |          0.0010 |
|      95 |        4250 |       00:22:29 |       76.38% |       0.6245 |          0.0010 |
|      96 |        4300 |       00:22:45 |       73.82% |       0.6867 |          0.0010 |
|      97 |        4350 |       00:23:01 |       75.81% |       0.6429 |          0.0010 |
|      98 |        4400 |       00:23:17 |       77.31% |       0.6189 |          0.0010 |
|      99 |        4450 |       00:23:33 |       75.07% |       0.6544 |          0.0010 |
|     100 |        4500 |       00:23:49 |       76.61% |       0.6191 |          0.0010 |
|========================================================================================|
D:\OneDrive - City, University of London\Acad\Research\texture\Horiz_Vert_Diag\Network_Case_4A
Training on single CPU.
Initializing input data normalization.
|========================================================================================|
